item,token,itemChange,generateToken,destroyCombine,generateInventory,stateChange
dough,hot|fruity,,uplifting,,fruitBread,
dough,hot,,uplifting,,bread,
oven,flammable,,hot,,,
rock,fragile,gravel,,,,
gravel,careful,,,,key,
bluntAxe,sharp|rusty,axe,,,,
brokenBridge,shattered|uplifting|uplifting,shakyBridge,,,,
shakyBridge,dangerous|solid|sturdy,solidBridge,,,,2
easel,red|blue|wet,primedEasel,,,,
primedEasel,fruity|impressive|uplifting,,,,paintFruitStillLife,
primedEasel,hot|shiny|impressive,,,,paintSunset,
